Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_cut,FarFromHome,LowMonthlyIncome,LowWorkingYears,TotalSatisfaction
Yes,Travel_Rarely,1102,1,College,Life Sciences,Female,94,High,2,Sales Executive,Single,19479,8,Yes,11,Excellent,0,0,Bad,6,4,0,5,2,0,0,0,4
No,Travel_Frequently,279,8,Below College,Life Sciences,Male,61,Medium,2,Research Scientist,Married,24907,1,No,23,Outstanding,1,3,Better,10,7,1,7,3,0,0,0,6
Yes,Travel_Rarely,1373,2,College,Other,Male,92,Medium,1,Laboratory Technician,Single,2396,6,Yes,15,Excellent,0,3,Better,0,0,0,0,2,0,1,0,6
No,Travel_Frequently,1392,3,Master,Life Sciences,Female,56,High,1,Research Scientist,Married,23159,1,Yes,11,Excellent,0,3,Better,8,7,3,0,1,0,1,0,7
No,Travel_Rarely,591,2,Below College,Medical,Male,40,High,1,Laboratory Technician,Married,16632,9,No,12,Excellent,1,3,Better,2,2,2,2,1,0,0,0,4
No,Travel_Frequently,1005,2,College,Life Sciences,Male,79,High,1,Laboratory Technician,Single,11864,1,No,13,Excellent,0,2,Good,7,7,3,6,1,0,1,0,8
No,Travel_Rarely,1324,3,Bachelor,Medical,Female,81,Very High,1,Laboratory Technician,Married,9964,4,Yes,20,Outstanding,3,3,Good,1,0,0,0,4,0,1,0,2
No,Travel_Rarely,1358,24,Below College,Life Sciences,Male,67,High,1,Laboratory Technician,Divorced,13335,1,No,22,Outstanding,1,2,Better,1,0,0,0,1,1,1,1,6
No,Travel_Frequently,216,23,Bachelor,Life Sciences,Male,44,Medium,3,Manufacturing Director,Single,8787,1,No,21,Outstanding,0,2,Better,9,7,1,8,2,1,0,0,6
No,Travel_Rarely,1299,27,Bachelor,Medical,Male,94,High,2,Healthcare Representative,Married,16577,6,No,13,Excellent,2,3,Good,7,7,7,7,2,1,0,0,5
No,Travel_Rarely,809,16,Bachelor,Medical,Male,84,Very High,1,Laboratory Technician,Married,16479,1,No,13,Excellent,1,5,Better,5,4,0,3,2,0,1,0,3
No,Travel_Rarely,153,15,College,Life Sciences,Female,49,Medium,2,Laboratory Technician,Single,12682,1,Yes,12,Excellent,0,3,Better,9,5,0,8,1,0,0,0,8
No,Travel_Rarely,670,26,Below College,Life Sciences,Male,31,High,1,Research Scientist,Divorced,15170,1,No,17,Excellent,1,1,Good,5,2,4,3,1,1,1,0,5
No,Travel_Rarely,1346,19,College,Medical,Male,93,High,1,Laboratory Technician,Divorced,8758,1,No,11,Excellent,1,2,Better,2,2,1,2,1,0,1,0,6
Yes,Travel_Rarely,103,24,Bachelor,Life Sciences,Male,50,Medium,1,Laboratory Technician,Single,12947,5,Yes,14,Excellent,0,4,Better,4,2,0,3,1,1,1,0,5
No,Travel_Rarely,1389,21,Master,Life Sciences,Female,51,Very High,3,Manufacturing Director,Divorced,10195,1,No,11,Excellent,1,1,Better,10,9,8,8,1,0,0,0,3
No,Travel_Rarely,334,5,College,Life Sciences,Male,80,Very High,1,Research Scientist,Divorced,15053,1,Yes,12,Excellent,2,5,Good,6,2,0,5,1,0,0,0,4
No,Non-Travel,1123,16,College,Medical,Male,96,Very High,1,Laboratory Technician,Divorced,7324,1,Yes,13,Excellent,2,2,Good,1,0,0,0,0,0,1,1,7
No,Travel_Rarely,371,2,Bachelor,Life Sciences,Male,45,High,1,Research Scientist,Single,4306,5,Yes,11,Excellent,0,3,Better,3,2,1,2,2,0,0,0,8
No,Non-Travel,673,11,College,Other,Female,96,Very High,2,Manufacturing Director,Divorced,8232,1,No,18,Excellent,1,5,Good,4,2,1,3,0,0,0,0,5
Yes,Travel_Rarely,1218,9,Master,Life Sciences,Male,82,Medium,1,Sales Representative,Single,6986,7,No,23,Outstanding,0,4,Better,5,3,0,3,2,0,0,0,3
No,Travel_Rarely,419,7,Master,Life Sciences,Female,53,High,3,Research Director,Single,21293,1,No,11,Excellent,0,4,Better,12,6,2,11,1,0,0,0,3
No,Travel_Rarely,391,15,College,Life Sciences,Male,96,High,1,Research Scientist,Single,19281,1,No,14,Excellent,0,6,Better,0,0,0,0,0,0,1,1,8
Yes,Travel_Rarely,699,6,Below College,Medical,Male,83,High,1,Research Scientist,Single,17102,2,No,11,Excellent,0,2,Better,4,2,1,3,1,0,1,0,3
No,Travel_Rarely,1282,5,Bachelor,Other,Female,58,High,5,Manager,Divorced,10735,4,No,11,Excellent,1,3,Good,14,13,4,8,4,0,0,0,7
Yes,Travel_Frequently,1125,16,Below College,Life Sciences,Female,72,Low,1,Research Scientist,Single,4681,1,Yes,22,Outstanding,0,5,Better,10,2,6,7,1,0,0,0,2
No,Travel_Rarely,691,8,Master,Marketing,Male,48,High,2,Sales Executive,Married,21173,1,No,11,Excellent,1,2,Better,9,7,4,2,2,0,0,0,6
No,Travel_Rarely,705,2,Master,Marketing,Female,83,High,5,Manager,Single,22822,3,No,12,Excellent,0,2,Good,2,2,2,1,3,0,0,0,4
No,Travel_Rarely,924,2,Bachelor,Medical,Male,78,High,1,Laboratory Technician,Single,6670,4,No,11,Excellent,0,3,Better,1,1,0,0,1,0,1,0,8
