					이산형 표현가능		최솟값		최댓값
Age						True			18			60
DailyRate				False			102			1499
DistanceFromHome		True?			1			29
Education				True			1			5
EmployeeCount			None			1			1
EmployeeNumber			False			1			2068
EnvironmentSatisfaction	True			1			4
HourlyRate				False			30			100
JobInvolvement			True			1			4
JobLevel				Ture			1			5
JobSatisfaction			True			1			4
MonthlyIncome			False			1009		19999
MonthlyRate 			False			2094		26999
NumCompaniesWorked 		True			0			9
PercentSalaryHike		True			11			25
PerformanceRating		True			3			4
RelationshipSatisfactionTrue			1			4
StandardHours			None			80			80
StockOptionLevel		True			0			3
TotalWorkingYears		True?			0			40
TrainingTimesLastYear	True			0			6
WorkLifeBalance			True			1			4
YearsAtCompany			True?			0			40
YearsInCurrentRole		True			0			7
YearsSinceLastPromotion	True			0			15
YearsWithCurrManager	True			0			17
